ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
00995503-HTZ,HYDR BELT TENSIONER,01,01-03C10,1.0,1.0,UN,N
00995800-HTZ,SHAPED PIECE AIR DV,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00996803-HTZ,AIR DUCTING,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00997201-HTZ,PISTON E786+1.0,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00998510-HTZ,COVER W/O HYD.PUMP,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00999101-HTZ,FAN W/PULLEY,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00999500-HTZ,COVER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00999600-HTZ,AIR FILTER HOUSING,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-00803-00-SUB,BOLT,01,01-02D54,8.0,8.0,UN,N
010-01002-00-SUB,BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-03025-LST,VALVE COTTER - PAIRS,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-03057-LST,MANIFOLD JOINT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-03105-LST,CYL. HEAD GASKET,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-03179-LST,"""SHIM 005""""""",01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-1001-21-LOF,Kit Relay 70A Starter 12V,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-1001-52-LOF,"KIT,RELAY,PREHEAT,70A,24V PLUS",01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01010702-HTZ,SAFETY CRANK HANDLE,01,01-03G72,1.0,1.0,UN,N
01010702-HTZ,SAFETY CRANK HANDLE,01,01-SYSTEM-BIN-LOCATION,0.0,1.0,UN,N
01027805-HTZ,CR-HANDLE-SAFETY A,01,01-BD04,0.0,0.0,UN,N
010-30800-10-SUB,BOLT,01,01-02D54,8.0,8.0,UN,N
010-50600-90-SUB,STUD,01,01-02D54,8.0,8.0,UN,N
010-50602-00-SUB,STUD,01,01-02D54,2.0,2.0,UN,N
